model,slice,calls,accuracy,mean_probability,auc,brier,log_loss,ece,calibration_intercept,calibration_slope,spearman
adaptive,indicator_id:X42,37,0.5135135135135135,0.6219401117320533,0.631578947368421,0.25448478178685663,0.7024477852491062,0.13643983808551038,-0.9591616644803791,2.010874634872394,0.22790142204853647
adaptive,indicator_id:X43,132,0.6287878787878788,0.6666826466257012,0.5443816080649126,0.23383327066782242,0.6608863294188501,0.040330645823488415,0.1015279422012561,0.6080277309546153,0.07427955183293505
adaptive,indicator_id:X46,36,0.6111111111111112,0.6729483745425544,0.47727272727272724,0.2428020037931703,0.6795515070415588,0.08551131551329931,0.707151137096121,-0.3519679056870357,-0.038395331411533284
adaptive,indicator_id:X30,9,0.5555555555555556,0.6178531208845931,0.7500000000000001,0.24400029316620017,0.6805526890776626,0.1512881110608493,-10.484141336266942,22.687522584030745,0.4330127018922193
adaptive,indicator_id:X34,46,0.5652173913043478,0.607953796890229,0.6115384615384616,0.24195917004282375,0.6763929050116754,0.042736405585881085,-0.8013676797402479,2.428075549695868,0.19158511275216478
adaptive,indicator_id:X2,13,0.6153846153846154,0.6039465498316418,0.35,0.2512986685381532,0.6962975355374934,0.11253504599524974,2.8004016523302684,-5.213978051266667,-0.253546276418555
adaptive,indicator_id:X27,104,0.6442307692307693,0.6254021540729705,0.4259782170229931,0.23550461788133467,0.6644040742527733,0.06812470725050668,1.6465144678851416,-2.0176785948293983,-0.12276516909147762
adaptive,indicator_id:X22,60,0.5833333333333334,0.6127936219429492,0.5588571428571428,0.24092761850757738,0.6742251996236076,0.05308953083352515,-0.38361821627866194,1.5716036795873742,0.10053167121558106
adaptive,indicator_id:X6,9,0.4444444444444444,0.6399192343517768,0.6000000000000001,0.2786792109572303,0.7516362526809335,0.19547478990733236,-3.5223531030406865,5.7086510142006155,0.17320508075688773
adaptive,indicator_id:X20,7,0.5714285714285714,0.6375456330550906,0.9166666666666667,0.23899409795493728,0.6700102279159886,0.0661170616265192,-40.26816053483492,71.73565230556513,0.7216878364870323
adaptive,indicator_id:X49,9,0.3333333333333333,0.6297461473510284,0.38888888888888884,0.3114354413866948,0.8200781474862793,0.29641281401769504,-0.35547453442807186,-0.6357261344977344,-0.18257418583505536
adaptive,indicator_id:X48,4,0.75,0.6271505872833797,0.0,0.2053039493698695,0.6023723303231068,0.12284941271662031,265.0050448226968,-493.8941683317343,-0.7745966692414834
adaptive,indicator_id:X36,45,0.5777777777777777,0.6049240610580331,0.4898785425101215,0.245147075164179,0.6834171780092201,0.05009110422262852,0.17542859986459952,0.3238027474416696,-0.017321755286970657
adaptive,indicator_id:X26,62,0.6129032258064516,0.5988788232031015,0.40899122807017546,0.24162623295622299,0.6764134442675337,0.07338275986707023,1.4152094640076995,-2.3565105421511534,-0.1535805094949313
adaptive,indicator_id:X33,54,0.5370370370370371,0.6021090361560261,0.5131034482758621,0.2508283601791089,0.6949170642693792,0.06507199911898903,-0.44822080546499093,1.4369454918032294,0.02263736875842079
adaptive,indicator_id:X11,74,0.6756756756756757,0.6393897671904754,0.3775,0.2288035098657383,0.6508474268796826,0.0882892218345848,2.3973736275812825,-2.826199135638953,-0.19866678924944883
adaptive,indicator_id:X9,62,0.6451612903225806,0.6275394048308371,0.46818181818181814,0.2335079759800937,0.6599649545117451,0.06586084541470465,1.1963919042153608,-1.1319595460620198,-0.05274388624301301
adaptive,indicator_id:X8,42,0.6428571428571429,0.6204497155513308,0.491358024691358,0.23162834577480332,0.6558574717588523,0.07514955427696816,0.6442568688805682,-0.11405279529520915,-0.014348450361363969
adaptive,indicator_id:X41,14,0.8571428571428571,0.7318085815416231,0.4583333333333333,0.13870622763526086,0.4565135736517857,0.125334275601234,1.8711524516465294,-0.07850744311137928,-0.05063696835418333
adaptive,indicator_id:X13,2,0.5,0.5974492051951419,1.0,0.25351720477265,0.7000847616682436,0.49398467302081867,-80.56067132012873,204.01299751500835,0.9999999999999999
adaptive,indicator_id:X1,11,0.5454545454545454,0.6395088140932367,0.36666666666666664,0.2614234576901182,0.7179570133171418,0.09405426863869126,2.2017489109230306,-3.5058350284321165,-0.23094010767585033
adaptive,indicator_id:X10,2,0.5,0.6624199109226244,1.0,0.25281818498447356,0.696462589338784,0.16241991092262442,-43.157944437726144,63.834949558308594,0.9999999999999999
adaptive,predicted_direction:Up,2534,0.6243093922651933,0.6435037667728509,0.4999920322111145,0.23713323923531007,0.6675654800623871,0.05494109185412207,0.4785540685662655,0.04916609557883062,-1.336729641763405e-05
adaptive,predicted_direction:Down,11,0.6363636363636364,0.6789032108176252,0.5,0.23157326250240803,0.6554744462335488,0.09187806503530922,-1.398814053492138,2.622434786355311,0.0
adaptive,window:tuning_early,552,0.6340579710144928,0.6781995079193279,0.5526591230551626,0.23227315650916425,0.6574960007232475,0.04688512589160345,-0.12803864887640767,0.9068945888964599,0.08786898044689083
adaptive,window:tuning_late,519,0.6473988439306358,0.6661539802316455,0.535828129065834,0.22875469624591016,0.6506111490095862,0.025399112719829423,0.32077588426954506,0.413013024644843,0.05929845592845494
adaptive,window:validation,675,0.5851851851851851,0.6063778796571089,0.42274864376130195,0.24888653233431535,0.6914754574303102,0.09280806366565929,1.0944502461828494,-1.713210105495672,-0.13184722785177555
adaptive,window:confirmation,799,0.6357947434292867,0.6366725499889319,0.4494277132884163,0.2359274781470003,0.6651692526733298,0.04797250112882039,1.0887444231944738,-0.9355787733395999,-0.0843014657798298
